
E10000000, craig, SIR 24/11/2016, Sortcode 99-99-99 Nature of Incident Theft Oh no there was a robbery
E10000001, craigr@google.com, Oh No, Oh my god check this out at <URL Quarantined>!!! Wow
T10000002, @craigR, , Oh hey @NapierBank how crazy is this #nonsense
T10000003, @me, , #nonsense
E10000004, Craig, SIR 24/11/2016, Sortcode 99-99-99 Nature of Incident Theft Oh no there was a theft
T10000005, @craig, , Hey wheres my #money @napierbank
S10000006, 0777777777, , Hey LOL <Laughing out loud> 
T10000000, @gfsadgasg, , asdfadsfsadg
E10000008, fdgdag, sadgsadg, agdsagdsadwfw
E10000009, fagsag, sadfsa, dsagag
